Citeste toti clientii din fisier,30:06.9
Adauga client,30:07.0
Get pensionari,30:07.0
Citeste toti clientii din fisier,31:39.9
Adauga client,31:39.9
Get pensionari,31:39.9
Adauga client,31:39.9
Get studenti,31:39.9
Citeste toti clientii din fisier,16:52.5
Adauga client,16:52.5
Get pensionari,16:52.5
Adauga client,16:52.5
Get studenti,16:52.5
Citeste toti clientii din fisier,17:13.9
Adauga client,17:13.9
Get pensionari,17:13.9
Adauga client,17:13.9
Get studenti,17:13.9
Citeste toti clientii din fisier,20:16.0
Adauga client,20:16.0
Get pensionari,20:16.0
Adauga client,20:16.0
Get studenti,20:16.0
Citeste toti clientii din fisier,41:06.1
Adauga client,41:06.1
Get pensionari,41:06.1
Adauga client,41:06.1
Get studenti,41:06.1
Citeste toti clientii din fisier,41:55.4
Adauga client,41:55.4
Get pensionari,41:55.4
Adauga client,41:55.4
Get studenti,41:55.4
Citeste toti clientii din fisier,55:51.9
Adauga client,55:51.9
Get pensionari,55:51.9
Adauga client,55:51.9
Get studenti,55:51.9
Citeste toti clientii din fisier,06:10.3
Adauga client,06:10.4
Get pensionari,06:10.4
Adauga client,06:10.4
Get studenti,06:10.4
Citeste toti clientii din fisier,44:50.3
Adauga client,44:50.3
Get pensionari,44:50.3
Adauga client,44:50.3
Get studenti,44:50.3
Citeste toti clientii din fisier,45:41.4
Adauga client,45:41.4
Get pensionari,45:41.4
Adauga client,45:41.4
Get studenti,45:41.4
Citeste toti clientii din fisier,47:33.2
Adauga client,47:33.3
Get pensionari,47:33.3
Adauga client,47:33.3
Get studenti,47:33.3
Citeste toti clientii din fisier,52:02.6
Adauga client,52:02.6
Get pensionari,52:02.6
Adauga client,52:02.6
Get studenti,52:02.6
Citeste toti clientii din fisier,52:50.2
Adauga client,52:50.2
Get pensionari,52:50.2
Adauga client,52:50.2
Get studenti,52:50.2
Citeste toti clientii din fisier,53:21.8
Adauga client,53:21.8
Get pensionari,53:21.8
Adauga client,53:21.8
Get studenti,53:21.8
Citeste toti clientii din fisier,53:38.9
Adauga client,53:38.9
Get pensionari,53:38.9
Adauga client,53:38.9
Get studenti,53:38.9
Citeste toti clientii din fisier,54:22.6
Adauga client,54:22.6
Get pensionari,54:22.6
Adauga client,54:22.6
Get studenti,54:22.6
Citeste toti clientii din fisier,56:04.1
Adauga client,56:04.1
Get pensionari,56:04.1
Adauga client,56:04.1
Get studenti,56:04.1
Citeste toti clientii din fisier,57:25.9
Adauga client,57:25.9
Get pensionari,57:25.9
Adauga client,57:25.9
Get studenti,57:25.9
Citeste toti clientii din fisier,00:27.4
Adauga client,00:27.4
Get pensionari,00:27.4
Adauga client,00:27.4
Get studenti,00:27.4
Citeste toti clientii din fisier,11:46.5
Adauga client,11:46.5
Get pensionari,11:46.5
Adauga client,11:46.5
Get studenti,11:46.5
Citeste toti clientii din fisier,12:43.4
Adauga client,12:43.4
Get pensionari,12:43.4
Adauga client,12:43.4
Get studenti,12:43.4
Citeste toti clientii din fisier,14:44.9
Adauga client,14:44.9
Get pensionari,14:44.9
Adauga client,14:44.9
Get studenti,14:44.9
Citeste toti clientii din fisier,15:13.4
Adauga client,15:13.4
Get pensionari,15:13.4
Adauga client,15:13.4
Get studenti,15:13.4
Citeste toti clientii din fisier,15:36.3
Adauga client,15:36.3
Get pensionari,15:36.3
Adauga client,15:36.3
Get studenti,15:36.3
Citeste toti clientii din fisier,15:55.6
Adauga client,15:55.6
Get pensionari,15:55.6
Adauga client,15:55.6
Get studenti,15:55.6
Citeste toti clientii din fisier,16:15.7
Adauga client,16:15.7
Get pensionari,16:15.7
Adauga client,16:15.7
Get studenti,16:15.7
Citeste toti clientii din fisier,16:29.5
Adauga client,16:29.5
Get pensionari,16:29.5
Adauga client,16:29.5
Get studenti,16:29.5
Citeste toti clientii din fisier,17:05.7
Adauga client,17:05.7
Get pensionari,17:05.7
Adauga client,17:05.7
Get studenti,17:05.7
Citeste toti clientii din fisier,27:12.5
Adauga client,27:12.5
Get pensionari,27:12.5
Adauga client,27:12.5
Get studenti,27:12.5
Citeste toti clientii din fisier,27:31.2
Adauga client,27:31.2
Get pensionari,27:31.2
Adauga client,27:31.2
Get studenti,27:31.2
Citeste toti clientii din fisier,28:12.8
Adauga client,28:12.8
Get pensionari,28:12.8
Adauga client,28:12.8
Get studenti,28:12.8
